"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
BinhPhuoc,24/02/2018,707763,97564,12703,18983,07559,91845,74858,25400,13028,76852,25337,08216,6209,1675,3652,2894,458,92
BinhPhuoc,17/02/2018,401155,55876,53281,34064,90107,12532,03033,13407,42247,38970,57178,63604,5468,1538,0831,6403,702,46
BinhPhuoc,10/02/2018,070152,97125,96233,69019,04802,81067,33828,52648,10388,12072,14915,83300,3801,8956,8505,3512,538,32
BinhPhuoc,03/02/2018,639377,70736,05657,44398,19036,45476,34968,75313,91140,86094,15657,85283,3462,4650,3969,9927,804,61
BinhPhuoc,27/01/2018,657342,71457,93750,82423,40255,09680,34974,96176,69385,39259,19305,94461,4412,8124,6301,8725,840,99
BinhPhuoc,20/01/2018,339924,49519,08776,47620,97051,23723,28744,33470,58618,61598,69856,65367,3794,2346,6781,4581,525,85
BinhPhuoc,13/01/2018,509417,02889,95339,62162,22443,55584,56304,25821,51892,85690,75238,17382,6652,8948,5620,5594,020,96
BinhPhuoc,06/01/2018,749837,48774,09738,23706,04100,11062,42198,97995,59849,47465,79208,07934,6360,6057,9232,5009,407,05
BinhPhuoc,30/12/2017,208872,42124,55876,56901,27046,59083,00144,70611,91675,78548,69424,92973,0653,2865,9053,4465,040,75
BinhPhuoc,23/12/2017,107329,02918,53933,15578,70534,39990,65702,20820,24376,08044,82167,08317,0713,7015,4141,9600,315,14
BinhPhuoc,16/12/2017,166104,51519,80165,52274,01287,44404,21176,19505,78628,26040,94914,11905,6967,6100,2177,1738,587,20
BinhPhuoc,09/12/2017,363940,51175,03015,73352,15724,67152,20541,21282,78651,45010,04936,88695,4745,4113,3429,9673,920,93
BinhPhuoc,02/12/2017,047745,73319,77223,28811,08506,81991,73257,47167,81622,54972,15004,94114,6363,3176,1906,9327,268,21
BinhPhuoc,25/11/2017,244835,17529,96618,61480,99686,22252,64685,25446,91645,39030,92108,10148,8567,7503,4452,9721,196,19
BinhPhuoc,18/11/2017,961761,71483,08503,79613,71882,72479,62000,11967,34673,75480,64471,75653,9110,4640,6162,6955,763,82
BinhPhuoc,11/11/2017,083956,54972,75468,84586,64300,18151,62858,46794,96472,84639,88246,22084,3855,8130,3704,1157,877,01
BinhPhuoc,04/11/2017,242878,87126,34137,52082,95560,95297,27110,87811,33395,15136,63115,37145,2954,5074,9740,3581,289,70
BinhPhuoc,28/10/2017,263059,54927,89607,92341,92527,18328,61813,59296,15252,30225,78485,17251,1084,5064,8064,2446,322,02
BinhPhuoc,21/10/2017,864907,20192,79317,19595,19104,26725,54334,98206,25704,53186,08520,71959,9353,9241,7134,0287,864,93
BinhPhuoc,14/10/2017,691302,29554,16864,25981,40344,38644,06741,81708,16543,78006,14033,32980,1828,6572,0382,1078,556,49
BinhPhuoc,07/10/2017,869628,25037,74187,11058,32867,28933,38064,61840,43849,60535,43820,57178,0372,6060,6750,3730,048,86
BinhPhuoc,30/09/2017,610615,64569,90443,63094,94719,11159,75449,43895,04068,96551,92906,49672,9758,7487,0796,0647,881,96
