"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
TayNinh,2017/03/30,624075,92423,92954,12960,96103,45617,71168,27051,28339,63890,09632,36730,6894,3779,6737,1870,955,11
TayNinh,2017/03/23,921156,69613,47353,26212,95009,03035,27527,86118,40451,20242,52692,98895,0112,6831,6042,9180,549,44
TayNinh,2017/03/16,796595,93484,97655,19079,46395,61905,00421,93228,14151,94362,60579,07500,6382,0003,5585,5311,452,29
TayNinh,2017/03/09,531115,31489,09770,13845,49265,30143,41816,02506,68650,28021,26972,64242,0015,7821,2662,2775,593,64
TayNinh,2017/03/02,405629,32133,15564,31663,79197,69268,41145,86627,05574,36932,67993,49092,1544,0731,0787,3896,953,60
TayNinh,2017/02/23,092836,38759,40881,11872,83862,40554,58588,83558,44883,41904,06340,86027,3959,8982,7096,6372,557,60
TayNinh,2017/02/16,559815,90094,79574,09450,55532,20888,42017,44324,37452,86823,35279,82227,5087,9077,9516,9948,463,09
TayNinh,2017/02/09,744772,12630,63272,85568,03630,89752,87841,30740,29466,35109,56664,78468,0993,6999,6743,1174,742,50
TayNinh,2017/02/02,007969,50707,12984,06698,58508,00225,91070,03560,01482,83232,58422,45632,7760,9339,9478,1324,822,44
TayNinh,2017/01/26,892090,47120,62413,68012,16932,39007,82507,71022,53316,85850,82696,38915,4781,8976,2240,6301,839,43
TayNinh,2017/01/19,649726,12031,04111,46017,64656,40848,13549,76688,76399,84591,61643,48665,0678,1672,6560,2749,323,71
TayNinh,2017/01/12,471990,43836,78275,21637,37146,37980,19292,73767,53593,74314,50980,05355,6255,6961,9295,1722,425,67
TayNinh,2017/01/05,348276,52428,36829,63575,90337,32998,81185,75461,82038,65146,78642,22101,4594,9242,0273,8240,250,31
TayNinh,2016/12/29,644960,64029,98412,72376,21445,86922,12602,16156,65312,96298,24233,81729,0667,3509,2306,1645,169,85
TayNinh,2016/12/22,149331,00615,45232,12083,04354,34191,23292,05705,29797,80425,59226,62082,2353,5020,8284,2020,670,08
TayNinh,2016/12/15,895117,40068,06123,30990,71792,58686,75914,45626,38840,03538,01767,88732,7358,4897,1972,7505,626,55
TayNinh,2016/12/08,523780,98073,78744,38536,80302,67073,86378,65622,63890,04835,96676,25760,7205,5650,2035,2598,651,77
TayNinh,2016/11/24,744037,96441,53767,90991,28011,95082,73763,94941,11646,20599,00439,74737,6923,8514,2067,3197,272,02
TayNinh,2016/11/17,134811,34700,11397,53305,13486,97083,40908,65871,23723,71504,88586,18970,7380,2199,5548,9149,519,42
TayNinh,2016/11/10,122058,27819,53909,93163,59537,54468,86817,82289,54544,74686,82490,68995,3500,3291,6092,3620,471,60
TayNinh,2016/11/03,615642,11332,27706,68587,59051,41100,77203,49754,69375,16271,42455,61636,4405,1477,9683,5481,936,62
TayNinh,2016/10/27,691834,48158,46353,46358,32440,66983,53333,18496,79996,30379,89464,79439,0439,6815,2150,2147,535,84
TayNinh,2016/10/20,752758,78597,23294,76968,62485,84854,56155,96918,23148,87913,70915,92296,9811,0726,5265,7517,879,13
TayNinh,2016/10/13,411440,75024,69182,30661,55533,98872,87301,83512,48473,13441,96972,64318,0799,2183,9926,7581,228,30
TayNinh,2016/10/06,168603,63303,26711,65003,73719,70931,76014,04422,26394,33158,89782,86646,5992,8371,5463,3183,183,15
TayNinh,2016/09/29,666475,59395,13740,67877,42672,89594,68766,02271,28223,99426,71785,94679,1235,2537,3038,4974,770,93
TayNinh,2016/09/22,195160,02164,26720,96013,43659,38567,53738,42387,63172,45244,15056,94511,4456,2780,7958,3669,761,11
TayNinh,2016/09/15,464131,04877,25038,13106,07258,43259,99618,88305,53684,46397,41158,63761,8206,6118,3102,5764,101,63
TayNinh,2016/09/08,323908,61423,92098,12253,69584,77170,84594,38393,75341,79320,82078,02052,4840,3675,2727,6100,541,57
TayNinh,2016/09/01,642591,20756,44786,31648,02947,01614,73051,80547,95780,50414,55573,83383,3359,7762,3935,0950,451,66
TayNinh,2016/08/25,949708,14748,22818,19009,69388,09612,06879,60338,41976,95689,51881,17097,6827,3899,1948,1951,090,88
