"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
NinhThuan,2017/11/24,116394,41644,54801,75753,74778,94298,01798,49319,44228,37928,19760,61073,7500,9459,8874,9499,203,17
NinhThuan,2017/11/17,292381,93535,82685,53955,03126,36766,64361,98547,48873,14757,64425,68211,3957,5277,7981,4012,613,66
NinhThuan,2017/11/10,649560,53466,89565,77130,77266,90640,36186,79268,78493,50626,35206,65042,4003,6431,7267,2400,241,45
NinhThuan,2017/11/03,153920,47284,54774,23660,71655,88660,88455,51062,03051,76058,16114,52087,7780,8217,9323,6500,304,21
NinhThuan,2017/10/27,443134,25548,52803,66871,59868,94250,40458,36314,84128,06979,06979,30389,7452,4694,7791,5275,346,37
NinhThuan,2017/10/20,874854,62267,64119,08901,70976,94874,58089,93474,15514,63872,36716,00925,6651,9631,0306,8224,470,53
NinhThuan,2017/10/13,020031,62105,25120,00640,26333,34063,49812,73084,63198,43487,68154,17031,9914,1510,9344,3805,567,29
NinhThuan,2017/10/06,164965,64307,42121,29839,36171,21705,29147,82212,55107,16109,89919,83832,4026,2685,5289,8540,650,61
NinhThuan,2017/09/29,780699,20614,64167,01985,57471,67396,19469,62761,81633,41935,40454,09912,9910,9576,7118,8142,512,26
NinhThuan,2017/09/22,636066,95315,63182,08546,28175,21951,43233,38849,54610,20277,60068,12076,4207,3333,5014,3744,379,78
NinhThuan,2017/09/15,066250,13442,76329,74019,92388,07901,49288,55109,02693,42416,96393,98763,0946,9003,1069,9829,432,34
NinhThuan,2017/09/08,321622,08387,70399,81510,75463,62926,51555,27625,67539,16319,59930,35634,9092,4331,3354,8915,910,45
NinhThuan,2017/08/25,219012,07586,41611,06567,22252,07842,68660,29897,86497,56663,19279,76739,7297,2426,5060,2661,007,71
NinhThuan,2017/08/18,249385,78828,14163,82411,96163,27709,40835,01490,79521,57653,25227,88511,3843,6430,8224,7471,510,40
NinhThuan,2017/08/11,784857,64030,75393,84888,45451,58182,76335,93524,89476,10222,01726,20676,8704,6937,2105,0778,340,67
NinhThuan,2017/07/28,194094,01032,52114,81848,63804,73003,78938,62508,29788,86429,30458,86611,9773,9066,3829,9381,051,36
NinhThuan,2017/07/21,617008,05559,57135,63351,64915,97132,54234,27395,66888,69139,59248,95323,5618,8285,3569,6015,088,94
