"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
BacLieu,13/06/2017,272726,78713,61873,43642,97364,21619,39776,09753,95088,75869,08753,79863,5166,1638,3062,7804,907,32
BacLieu,06/06/2017,766804,04595,81984,13208,65774,18295,00779,23712,89755,06327,66223,87407,8686,0206,9903,5813,673,97
BacLieu,30/05/2017,765094,09649,03311,74993,97563,53540,41010,48326,00346,11219,16991,70607,5794,5258,7051,3434,396,05
BacLieu,23/05/2017,625168,97581,86997,52266,76165,80555,16462,08621,08759,80766,33336,06651,0121,2399,1996,1471,773,42
BacLieu,16/05/2017,873179,38658,73152,45656,47503,02604,81349,51719,19978,78209,91142,14947,3667,1467,3971,7652,609,22
BacLieu,09/05/2017,339747,53768,43158,80309,48808,73616,02975,15256,42626,55554,52183,31406,5548,4997,0186,9278,056,60
BacLieu,25/04/2017,469334,16164,43798,60069,08994,17385,40736,21428,88582,18820,97533,73830,1689,2016,4179,3778,405,94
BacLieu,18/04/2017,041067,18930,31776,62975,13673,66753,57978,10666,80828,37904,88014,98979,4139,6353,7113,6263,573,94
BacLieu,11/04/2017,518140,55384,19933,01101,61163,48323,51918,76700,18060,15568,61855,10553,6743,6456,6546,4032,920,00
BacLieu,04/04/2017,355603,23069,11857,67568,90593,22878,87868,85112,25737,12050,08221,80398,7427,3147,2069,5291,967,50
BacLieu,28/03/2017,380668,81312,56902,86220,33464,76577,81267,35791,19814,03441,59308,78821,0473,0538,4206,0481,341,61
BacLieu,21/03/2017,215554,26476,12166,20644,51282,48702,36834,07344,98648,91950,24166,35178,1899,5578,4179,3881,674,03
BacLieu,14/03/2017,243642,12175,90485,61093,04074,82883,17449,02236,18606,66282,46663,84096,5377,4451,4515,1377,187,68
BacLieu,07/03/2017,204473,57232,33331,26706,45242,96133,24505,22982,52451,37494,42978,25869,0068,8770,9216,0160,192,75
BacLieu,28/02/2017,098392,64319,50135,86262,94721,41074,04078,22705,35452,61555,80551,26277,1616,4855,2877,6928,205,65
BacLieu,21/02/2017,968476,66427,73965,94964,28899,22808,93190,95003,22256,93437,96983,13271,6118,9843,3855,6706,468,04
BacLieu,14/02/2017,144230,52696,86511,39178,80470,87243,56025,87500,68300,43385,86285,66555,4301,7475,5967,6763,314,25
BacLieu,07/02/2017,383177,31265,98437,01181,28915,88569,99879,75451,61441,37317,57669,00840,1252,1697,0481,3086,048,11
